	非独任审判	独任审判
山东	52919.0	32008.0
湖南	7167.0	10909.0
河南	42049.0	16852.0
甘肃	1349.0	2840.0
上海	1520.0	25408.0
江苏	18018.0	51976.0
陕西	11443.0	9024.0
河北	18172.0	34745.0
四川	3112.0	31559.0
湖北	5214.0	16832.0
新疆	813.0	3053.0
山西	4602.0	2460.0
云南	1280.0	3288.0
广西	4139.0	9567.0
天津	617.0	11575.0
内蒙古	1282.0	5474.0
浙江	4818.0	45540.0
辽宁	8051.0	15059.0
安徽	5619.0	30506.0
广东	8714.0	23171.0
重庆	1661.0	13225.0
贵州	1081.0	4908.0
吉林	3766.0	4371.0
北京	2702.0	13878.0
江西	3762.0	3510.0
黑龙江	1961.0	1882.0
福建	1990.0	9570.0
宁夏	664.0	1258.0
海南	544.0	592.0
青海	213.0	410.0
西藏	26.0	27.0
某某	1.0	
北	1.0	
某苏	1.0	
疆	1.0	3.0
东		2.0
陕酉		1.0
西		1.0
