	非独任审判	独任审判	非独任审判num	独任审判num
湖南	2504526760.0	2652979526.0	7167.0	10909.0
河南	11857585091.0	4499446153.0	42049.0	16852.0
甘肃	4337338360.0	371127251.0	1349.0	2840.0
上海	457362022.0	4911766272.0	1520.0	25408.0
山东	20100443492.0	14903829137.0	52919.0	32008.0
江苏	13055801794.0	2833454249547.0	18018.0	51976.0
陕西	324820236115.0	321159433029.0	11443.0	9024.0
河北	24698319430.0	6647290054.0	18172.0	34745.0
四川	2220056230.0	278061014383.0	3112.0	31559.0
湖北	1195366244.0	120627139254.0	5214.0	16832.0
新疆	1675852549.0	374845680.0	813.0	3053.0
山西	1644547911.0	1935011001.0	4602.0	2460.0
云南	8841625940.0	513711284.0	1280.0	3288.0
广西	1908097850.0	135409292861.0	4139.0	9567.0
天津	245285210.0	1595686308.0	617.0	11575.0
内蒙古	22425961542.0	1340219735.0	1282.0	5474.0
浙江	2224587202.0	7711516649.0	4818.0	45540.0
辽宁	5755341288.0	4969416920.0	8051.0	15059.0
安徽	3987234407.0	37733184473.0	5619.0	30506.0
广东	17979193355.0	56544466120.0	8714.0	23171.0
重庆	286719949.0	2879244362.0	1661.0	13225.0
贵州	160530749.0	1065162101.0	1081.0	4908.0
吉林	557821744.0	2257583851.0	3766.0	4371.0
北京	1952581799.0	19292832551.0	2702.0	13878.0
江西	1185146317.0	571184514.0	3762.0	3510.0
黑龙江	323946591.0	205332146.0	1961.0	1882.0
福建	425226719.0	1075502173.0	1990.0	9570.0
宁夏	94722589.0	2187505676.0	664.0	1258.0
海南	87432163.0	42966851.0	544.0	592.0
青海	47289057.0	37797074.0	213.0	410.0
西藏	5099663.0	1227001.0	26.0	27.0
某某	198000.0		1.0	
北	150460.0		1.0	
某苏	90221.0		1.0	
疆	1829.0	375191.0	1.0	3.0
东		116154.0		2.0
陕酉		0.0		1.0
西		1031594.0		1.0
